Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Forward Checking,10,10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005660057067871094,45
Backtracking,10,11,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008776187896728516,45
Forward Checking,10,11,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.000614166259765625,45
Backtracking,10,12,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008738040924072266,45
Forward Checking,10,12,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005915164947509766,45
Backtracking,10,13,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007565021514892578,45
Forward Checking,10,13,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004918575286865234,45
Backtracking,10,14,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007545948028564453,45
Forward Checking,10,14,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004839897155761719,45
Backtracking,10,15,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007648468017578125,45
Forward Checking,10,15,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005207061767578125,45
Backtracking,10,16,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007827281951904297,45
Forward Checking,10,16,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005769729614257812,45
Backtracking,10,17,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007386207580566406,45
Forward Checking,10,17,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005216598510742188,45
Backtracking,10,18,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009007453918457031,45
Forward Checking,10,18,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007700920104980469,45
Backtracking,10,19,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008993148803710938,45
Forward Checking,10,19,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005271434783935547,45
Backtracking,10,20,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008599758148193359,45
Forward Checking,10,20,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005199909210205078,45
Backtracking,10,21,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007796287536621094,45
Forward Checking,10,21,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005006790161132812,45
Backtracking,10,22,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009903907775878906,45
Forward Checking,10,22,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005099773406982422,45
Backtracking,10,23,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007915496826171875,45
Forward Checking,10,23,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008931159973144531,45
Backtracking,10,24,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0012989044189453125,45
Forward Checking,10,24,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0009672641754150391,45
Backtracking,10,25,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008931159973144531,45
Forward Checking,10,25,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0005476474761962891,45
Backtracking,10,26,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008537769317626953,45
Forward Checking,10,26,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004749298095703125,45
Backtracking,10,27,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0008301734924316406,45
Forward Checking,10,27,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004987716674804688,45
Backtracking,10,28,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007343292236328125,45
Forward Checking,10,28,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.00044274330139160156,45
Backtracking,10,29,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007083415985107422,45
Forward Checking,10,29,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.00043129920959472656,45
Backtracking,10,30,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0007128715515136719,45
Forward Checking,10,30,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,True,0.0004343986511230469,45
Backtracking,12,1,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002779245376586914,66
Forward Checking,12,1,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011844635009765625,66
Backtracking,12,2,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0029397010803222656,66
Forward Checking,12,2,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0012240409851074219,66
Backtracking,12,3,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0025877952575683594,66
Forward Checking,12,3,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0013196468353271484,66
Backtracking,12,4,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0027115345001220703,66
Forward Checking,12,4,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.001138448715209961,66
Backtracking,12,5,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002453327178955078,66
Forward Checking,12,5,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.001092672348022461,66
Backtracking,12,6,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0026640892028808594,66
Forward Checking,12,6,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0012857913970947266,66
Backtracking,12,7,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0026559829711914062,66
Forward Checking,12,7,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0012421607971191406,66
Backtracking,12,8,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0025882720947265625,66
Forward Checking,12,8,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011625289916992188,66
Backtracking,12,9,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002523183822631836,66
Forward Checking,12,9,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.001070261001586914,66
Backtracking,12,10,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0025472640991210938,66
Forward Checking,12,10,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011746883392333984,66
Backtracking,12,11,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002398967742919922,66
Forward Checking,12,11,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011799335479736328,66
Backtracking,12,12,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002451658248901367,66
Forward Checking,12,12,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011239051818847656,66
Backtracking,12,13,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002413511276245117,66
Forward Checking,12,13,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011167526245117188,66
Backtracking,12,14,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0024857521057128906,66
Forward Checking,12,14,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011866092681884766,66
Backtracking,12,15,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0025222301483154297,66
Forward Checking,12,15,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010805130004882812,66
Backtracking,12,16,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0023877620697021484,66
Forward Checking,12,16,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010535717010498047,66
Backtracking,12,17,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0024399757385253906,66
Forward Checking,12,17,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010483264923095703,66
Backtracking,12,18,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002306699752807617,66
Forward Checking,12,18,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010395050048828125,66
Backtracking,12,19,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0023758411407470703,66
Forward Checking,12,19,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011439323425292969,66
Backtracking,12,20,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002402782440185547,66
Forward Checking,12,20,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010809898376464844,66
Backtracking,12,21,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002344846725463867,66
Forward Checking,12,21,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010981559753417969,66
Backtracking,12,22,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0025517940521240234,66
Forward Checking,12,22,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0013267993927001953,66
Backtracking,12,23,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0026254653930664062,66
