Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Genético,8,19,"[3, 5, 0, 4, 1, 7, 2, 6]",0,True,0.19699501991271973,6600
Hill Climbing,8,20,"[4, 2, 1, 5, 7, 0, 6, 3]",1,False,0.0015664100646972656,3
Simulated Annealing,8,20,"[7, 2, 4, 1, 7, 0, 3, 6]",1,False,0.00653529167175293,688
Genético,8,20,"[4, 6, 0, 2, 7, 5, 3, 1]",0,True,0.062119483947753906,2100
Hill Climbing,8,21,"[7, 2, 0, 5, 1, 4, 6, 3]",0,True,0.0015211105346679688,4
Simulated Annealing,8,21,"[5, 0, 2, 7, 6, 3, 1, 4]",1,False,0.006461620330810547,688
Genético,8,21,"[2, 7, 3, 6, 0, 5, 1, 4]",0,True,0.03838372230529785,1300
Hill Climbing,8,22,"[3, 0, 4, 7, 1, 2, 6, 5]",2,False,0.0011701583862304688,2
Simulated Annealing,8,22,"[2, 5, 7, 0, 3, 6, 4, 1]",0,True,0.005414009094238281,573
Genético,8,22,"[2, 7, 5, 3, 1, 6, 4, 6]",1,False,2.9454948902130127,100000
Hill Climbing,8,23,"[1, 6, 2, 5, 7, 4, 0, 3]",0,True,0.001131296157836914,3
Simulated Annealing,8,23,"[1, 4, 7, 5, 0, 2, 6, 3]",1,False,0.006482839584350586,688
Genético,8,23,"[3, 5, 7, 2, 0, 6, 4, 1]",0,True,0.0673060417175293,2300
Hill Climbing,8,24,"[4, 6, 0, 2, 7, 5, 3, 1]",0,True,0.0015287399291992188,4
Simulated Annealing,8,24,"[0, 3, 1, 7, 5, 0, 2, 4]",1,False,0.0065419673919677734,688
Genético,8,24,"[7, 2, 4, 1, 7, 0, 3, 6]",1,False,2.9516608715057373,100000
Hill Climbing,8,25,"[4, 0, 3, 5, 7, 1, 6, 2]",0,True,0.00194549560546875,5
Simulated Annealing,8,25,"[1, 5, 2, 0, 7, 4, 6, 3]",1,False,0.006469011306762695,688
